ZIP,YEAR,ORDINAL,INCOME GROUP,HOUSEHOLDS
92055,2017,6,"$75,000 to $99,999",419
92055,2017,7,"$100,000 to $124,999",279
92055,2017,8,"$125,000 to $149,999",70
92055,2017,9,"$150,000 to $199,999",106
92055,2017,10,"$200,000 or more",65
92055,2018,1,"Less than $15,000",213
92055,2018,2,"$15,000 to $29,999",1471
92055,2018,3,"$30,000 to $44,999",1777
92055,2018,4,"$45,000 to $59,999",790
92055,2018,5,"$60,000 to $74,999",512
92055,2018,6,"$75,000 to $99,999",430
92055,2018,7,"$100,000 to $124,999",296
92055,2018,8,"$125,000 to $149,999",109
92055,2018,9,"$150,000 to $199,999",123
92055,2018,10,"$200,000 or more",99
92055,2019,1,"Less than $15,000",193
92055,2019,2,"$15,000 to $29,999",1406
92055,2019,3,"$30,000 to $44,999",1795
92055,2019,4,"$45,000 to $59,999",892
92055,2019,5,"$60,000 to $74,999",414
92055,2019,6,"$75,000 to $99,999",536
92055,2019,7,"$100,000 to $124,999",352
92055,2019,8,"$125,000 to $149,999",105
92055,2019,9,"$150,000 to $199,999",89
92055,2019,10,"$200,000 or more",44
92056,2010,1,"Less than $15,000",1610
92056,2010,2,"$15,000 to $29,999",2658
92056,2010,3,"$30,000 to $44,999",2556
92056,2010,4,"$45,000 to $59,999",2123
92056,2010,5,"$60,000 to $74,999",2144
92056,2010,6,"$75,000 to $99,999",3218
92056,2010,7,"$100,000 to $124,999",1946
92056,2010,8,"$125,000 to $149,999",1178
92056,2010,9,"$150,000 to $199,999",997
92056,2010,10,"$200,000 or more",677
92056,2011,1,"Less than $15,000",1591
92056,2011,2,"$15,000 to $29,999",2692
92056,2011,3,"$30,000 to $44,999",2542
92056,2011,4,"$45,000 to $59,999",2115
92056,2011,5,"$60,000 to $74,999",2184
92056,2011,6,"$75,000 to $99,999",3178
92056,2011,7,"$100,000 to $124,999",1889
92056,2011,8,"$125,000 to $149,999",1176
92056,2011,9,"$150,000 to $199,999",1000
92056,2011,10,"$200,000 or more",654
92056,2012,1,"Less than $15,000",1860
92056,2012,2,"$15,000 to $29,999",2880
92056,2012,3,"$30,000 to $44,999",2291
92056,2012,4,"$45,000 to $59,999",2252
92056,2012,5,"$60,000 to $74,999",2255
92056,2012,6,"$75,000 to $99,999",3206
92056,2012,7,"$100,000 to $124,999",1702
92056,2012,8,"$125,000 to $149,999",1039
92056,2012,9,"$150,000 to $199,999",1013
92056,2012,10,"$200,000 or more",595
92056,2013,1,"Less than $15,000",1954
92056,2013,2,"$15,000 to $29,999",2915
92056,2013,3,"$30,000 to $44,999",2406
92056,2013,4,"$45,000 to $59,999",2280
92056,2013,5,"$60,000 to $74,999",2135
92056,2013,6,"$75,000 to $99,999",3053
92056,2013,7,"$100,000 to $124,999",1616
92056,2013,8,"$125,000 to $149,999",1044
92056,2013,9,"$150,000 to $199,999",1163
92056,2013,10,"$200,000 or more",615
92056,2014,1,"Less than $15,000",2062
92056,2014,2,"$15,000 to $29,999",2746
92056,2014,3,"$30,000 to $44,999",2680
92056,2014,4,"$45,000 to $59,999",2365
92056,2014,5,"$60,000 to $74,999",1994
92056,2014,6,"$75,000 to $99,999",2821
92056,2014,7,"$100,000 to $124,999",1549
92056,2014,8,"$125,000 to $149,999",1049
92056,2014,9,"$150,000 to $199,999",1084
92056,2014,10,"$200,000 or more",793
92056,2015,1,"Less than $15,000",2185
92056,2015,2,"$15,000 to $29,999",2383
92056,2015,3,"$30,000 to $44,999",2526
92056,2015,4,"$45,000 to $59,999",2363
92056,2015,5,"$60,000 to $74,999",2056
92056,2015,6,"$75,000 to $99,999",2941
92056,2015,7,"$100,000 to $124,999",1576
92056,2015,8,"$125,000 to $149,999",1030
92056,2015,9,"$150,000 to $199,999",1168
92056,2015,10,"$200,000 or more",900
92056,2016,1,"Less than $15,000",2093
92056,2016,2,"$15,000 to $29,999",2391
92056,2016,3,"$30,000 to $44,999",2472
92056,2016,4,"$45,000 to $59,999",2360
92056,2016,5,"$60,000 to $74,999",2047
92056,2016,6,"$75,000 to $99,999",2914
92056,2016,7,"$100,000 to $124,999",1729
92056,2016,8,"$125,000 to $149,999",1121
92056,2016,9,"$150,000 to $199,999",1143
92056,2016,10,"$200,000 or more",857
92056,2017,1,"Less than $15,000",1968
92056,2017,2,"$15,000 to $29,999",2465
92056,2017,3,"$30,000 to $44,999",2789
92056,2017,4,"$45,000 to $59,999",2151
92056,2017,5,"$60,000 to $74,999",1908
92056,2017,6,"$75,000 to $99,999",2660
92056,2017,7,"$100,000 to $124,999",1785
92056,2017,8,"$125,000 to $149,999",1131
92056,2017,9,"$150,000 to $199,999",1226
92056,2017,10,"$200,000 or more",1049
92056,2018,1,"Less than $15,000",1772
92056,2018,2,"$15,000 to $29,999",2434
92056,2018,3,"$30,000 to $44,999",2503
92056,2018,4,"$45,000 to $59,999",2177
92056,2018,5,"$60,000 to $74,999",1820
92056,2018,6,"$75,000 to $99,999",2623
92056,2018,7,"$100,000 to $124,999",2041
92056,2018,8,"$125,000 to $149,999",1171
92056,2018,9,"$150,000 to $199,999",1287
92056,2018,10,"$200,000 or more",1304
92056,2019,1,"Less than $15,000",1796
92056,2019,2,"$15,000 to $29,999",2238
92056,2019,3,"$30,000 to $44,999",2407
92056,2019,4,"$45,000 to $59,999",2166
92056,2019,5,"$60,000 to $74,999",1925
92056,2019,6,"$75,000 to $99,999",2766
92056,2019,7,"$100,000 to $124,999",2032
92056,2019,8,"$125,000 to $149,999",1175
92056,2019,9,"$150,000 to $199,999",1339
92056,2019,10,"$200,000 or more",1374
92057,2010,1,"Less than $15,000",1271
92057,2010,2,"$15,000 to $29,999",2074
92057,2010,3,"$30,000 to $44,999",2322
92057,2010,4,"$45,000 to $59,999",2252
92057,2010,5,"$60,000 to $74,999",2360
92057,2010,6,"$75,000 to $99,999",2828
92057,2010,7,"$100,000 to $124,999",1928
92057,2010,8,"$125,000 to $149,999",1188
92057,2010,9,"$150,000 to $199,999",1034
92057,2010,10,"$200,000 or more",625
92057,2011,1,"Less than $15,000",1280
92057,2011,2,"$15,000 to $29,999",2046
92057,2011,3,"$30,000 to $44,999",2318
92057,2011,4,"$45,000 to $59,999",2251
92057,2011,5,"$60,000 to $74,999",2323
92057,2011,6,"$75,000 to $99,999",2851
92057,2011,7,"$100,000 to $124,999",1904
92057,2011,8,"$125,000 to $149,999",1186
92057,2011,9,"$150,000 to $199,999",1034
92057,2011,10,"$200,000 or more",631
92057,2012,1,"Less than $15,000",1678
92057,2012,2,"$15,000 to $29,999",1989
92057,2012,3,"$30,000 to $44,999",2273
92057,2012,4,"$45,000 to $59,999",2298
92057,2012,5,"$60,000 to $74,999",2211
92057,2012,6,"$75,000 to $99,999",2777
92057,2012,7,"$100,000 to $124,999",1737
92057,2012,8,"$125,000 to $149,999",1126
92057,2012,9,"$150,000 to $199,999",1088
92057,2012,10,"$200,000 or more",703
92057,2013,1,"Less than $15,000",1616
92057,2013,2,"$15,000 to $29,999",2171
92057,2013,3,"$30,000 to $44,999",2411
92057,2013,4,"$45,000 to $59,999",2410
92057,2013,5,"$60,000 to $74,999",2022
92057,2013,6,"$75,000 to $99,999",2725
92057,2013,7,"$100,000 to $124,999",1802
92057,2013,8,"$125,000 to $149,999",1017
92057,2013,9,"$150,000 to $199,999",987
92057,2013,10,"$200,000 or more",864
92057,2014,1,"Less than $15,000",1857
92057,2014,2,"$15,000 to $29,999",2141
92057,2014,3,"$30,000 to $44,999",2516
92057,2014,4,"$45,000 to $59,999",2601
92057,2014,5,"$60,000 to $74,999",1801
92057,2014,6,"$75,000 to $99,999",2678
92057,2014,7,"$100,000 to $124,999",1720
92057,2014,8,"$125,000 to $149,999",835
92057,2014,9,"$150,000 to $199,999",967
92057,2014,10,"$200,000 or more",867
92057,2015,1,"Less than $15,000",1855
92057,2015,2,"$15,000 to $29,999",2119
92057,2015,3,"$30,000 to $44,999",2353
92057,2015,4,"$45,000 to $59,999",2381
92057,2015,5,"$60,000 to $74,999",1742
92057,2015,6,"$75,000 to $99,999",2727
92057,2015,7,"$100,000 to $124,999",1703
92057,2015,8,"$125,000 to $149,999",841
92057,2015,9,"$150,000 to $199,999",1043
92057,2015,10,"$200,000 or more",1203
92057,2016,1,"Less than $15,000",1855
92057,2016,2,"$15,000 to $29,999",2165
92057,2016,3,"$30,000 to $44,999",2368
92057,2016,4,"$45,000 to $59,999",2385
92057,2016,5,"$60,000 to $74,999",1790
92057,2016,6,"$75,000 to $99,999",2851
92057,2016,7,"$100,000 to $124,999",1810
92057,2016,8,"$125,000 to $149,999",894
92057,2016,9,"$150,000 to $199,999",1033
92057,2016,10,"$200,000 or more",1097
92057,2017,1,"Less than $15,000",1634
92057,2017,2,"$15,000 to $29,999",2196
92057,2017,3,"$30,000 to $44,999",2395
92057,2017,4,"$45,000 to $59,999",2471
92057,2017,5,"$60,000 to $74,999",1959
92057,2017,6,"$75,000 to $99,999",2493
92057,2017,7,"$100,000 to $124,999",1677
92057,2017,8,"$125,000 to $149,999",963
92057,2017,9,"$150,000 to $199,999",1174
92057,2017,10,"$200,000 or more",1294
92057,2018,1,"Less than $15,000",1672
92057,2018,2,"$15,000 to $29,999",2078
92057,2018,3,"$30,000 to $44,999",2268
92057,2018,4,"$45,000 to $59,999",2529
92057,2018,5,"$60,000 to $74,999",1989
92057,2018,6,"$75,000 to $99,999",2400
92057,2018,7,"$100,000 to $124,999",1779
92057,2018,8,"$125,000 to $149,999",1061
92057,2018,9,"$150,000 to $199,999",1159
92057,2018,10,"$200,000 or more",1325
92057,2019,1,"Less than $15,000",1466
92057,2019,2,"$15,000 to $29,999",2080
92057,2019,3,"$30,000 to $44,999",2223
92057,2019,4,"$45,000 to $59,999",2497
92057,2019,5,"$60,000 to $74,999",2023
92057,2019,6,"$75,000 to $99,999",2495
92057,2019,7,"$100,000 to $124,999",1827
92057,2019,8,"$125,000 to $149,999",1148
92057,2019,9,"$150,000 to $199,999",1321
92057,2019,10,"$200,000 or more",1342
92058,2010,1,"Less than $15,000",923
92058,2010,2,"$15,000 to $29,999",1279
92058,2010,3,"$30,000 to $44,999",1210
92058,2010,4,"$45,000 to $59,999",989
92058,2010,5,"$60,000 to $74,999",656
92058,2010,6,"$75,000 to $99,999",970
92058,2010,7,"$100,000 to $124,999",834
92058,2010,8,"$125,000 to $149,999",530
92058,2010,9,"$150,000 to $199,999",310
92058,2010,10,"$200,000 or more",139
92058,2011,1,"Less than $15,000",923
92058,2011,2,"$15,000 to $29,999",1268
92058,2011,3,"$30,000 to $44,999",1196
92058,2011,4,"$45,000 to $59,999",994
92058,2011,5,"$60,000 to $74,999",651
92058,2011,6,"$75,000 to $99,999",964
92058,2011,7,"$100,000 to $124,999",831
92058,2011,8,"$125,000 to $149,999",538
92058,2011,9,"$150,000 to $199,999",314
92058,2011,10,"$200,000 or more",141
92058,2012,1,"Less than $15,000",919
92058,2012,2,"$15,000 to $29,999",1343
92058,2012,3,"$30,000 to $44,999",1190
92058,2012,4,"$45,000 to $59,999",1042
92058,2012,5,"$60,000 to $74,999",726
92058,2012,6,"$75,000 to $99,999",1023
92058,2012,7,"$100,000 to $124,999",713
92058,2012,8,"$125,000 to $149,999",480
92058,2012,9,"$150,000 to $199,999",326
92058,2012,10,"$200,000 or more",123
92058,2013,1,"Less than $15,000",1003
92058,2013,2,"$15,000 to $29,999",1383
92058,2013,3,"$30,000 to $44,999",1323
92058,2013,4,"$45,000 to $59,999",1055
92058,2013,5,"$60,000 to $74,999",724
92058,2013,6,"$75,000 to $99,999",950
92058,2013,7,"$100,000 to $124,999",732
92058,2013,8,"$125,000 to $149,999",401
92058,2013,9,"$150,000 to $199,999",293
92058,2013,10,"$200,000 or more",108
92058,2014,1,"Less than $15,000",966
92058,2014,2,"$15,000 to $29,999",1423
92058,2014,3,"$30,000 to $44,999",1238
92058,2014,4,"$45,000 to $59,999",1102
92058,2014,5,"$60,000 to $74,999",753
92058,2014,6,"$75,000 to $99,999",971
92058,2014,7,"$100,000 to $124,999",658
92058,2014,8,"$125,000 to $149,999",384
92058,2014,9,"$150,000 to $199,999",303
92058,2014,10,"$200,000 or more",153
92058,2015,1,"Less than $15,000",1031
92058,2015,2,"$15,000 to $29,999",1177
92058,2015,3,"$30,000 to $44,999",1298
92058,2015,4,"$45,000 to $59,999",1210
92058,2015,5,"$60,000 to $74,999",730
92058,2015,6,"$75,000 to $99,999",960
92058,2015,7,"$100,000 to $124,999",643
92058,2015,8,"$125,000 to $149,999",407
92058,2015,9,"$150,000 to $199,999",309
92058,2015,10,"$200,000 or more",181
92058,2016,1,"Less than $15,000",965
92058,2016,2,"$15,000 to $29,999",1260
92058,2016,3,"$30,000 to $44,999",1229
92058,2016,4,"$45,000 to $59,999",1249
92058,2016,5,"$60,000 to $74,999",794
92058,2016,6,"$75,000 to $99,999",1057
92058,2016,7,"$100,000 to $124,999",588
92058,2016,8,"$125,000 to $149,999",344
92058,2016,9,"$150,000 to $199,999",300
92058,2016,10,"$200,000 or more",190
92058,2017,1,"Less than $15,000",1089
92058,2017,2,"$15,000 to $29,999",1360
92058,2017,3,"$30,000 to $44,999",1278
92058,2017,4,"$45,000 to $59,999",963
92058,2017,5,"$60,000 to $74,999",710
92058,2017,6,"$75,000 to $99,999",940
92058,2017,7,"$100,000 to $124,999",658
92058,2017,8,"$125,000 to $149,999",358
92058,2017,9,"$150,000 to $199,999",351
92058,2017,10,"$200,000 or more",271
92058,2018,1,"Less than $15,000",961
92058,2018,2,"$15,000 to $29,999",1355
92058,2018,3,"$30,000 to $44,999",1416
92058,2018,4,"$45,000 to $59,999",941
92058,2018,5,"$60,000 to $74,999",661
92058,2018,6,"$75,000 to $99,999",946
92058,2018,7,"$100,000 to $124,999",588
92058,2018,8,"$125,000 to $149,999",370
92058,2018,9,"$150,000 to $199,999",394
92058,2018,10,"$200,000 or more",343
92058,2019,1,"Less than $15,000",947
92058,2019,2,"$15,000 to $29,999",1388
92058,2019,3,"$30,000 to $44,999",1262
92058,2019,4,"$45,000 to $59,999",916
92058,2019,5,"$60,000 to $74,999",738
92058,2019,6,"$75,000 to $99,999",1124
92058,2019,7,"$100,000 to $124,999",599
92058,2019,8,"$125,000 to $149,999",309
92058,2019,9,"$150,000 to $199,999",368
92058,2019,10,"$200,000 or more",337
92059,2010,1,"Less than $15,000",38
92059,2010,2,"$15,000 to $29,999",61
92059,2010,3,"$30,000 to $44,999",56
92059,2010,4,"$45,000 to $59,999",55
92059,2010,5,"$60,000 to $74,999",44
92059,2010,6,"$75,000 to $99,999",89
92059,2010,7,"$100,000 to $124,999",67
92059,2010,8,"$125,000 to $149,999",58
92059,2010,9,"$150,000 to $199,999",15
92059,2010,10,"$200,000 or more",6
92059,2011,1,"Less than $15,000",39
92059,2011,2,"$15,000 to $29,999",58
92059,2011,3,"$30,000 to $44,999",77
92059,2011,4,"$45,000 to $59,999",54
92059,2011,5,"$60,000 to $74,999",57
92059,2011,6,"$75,000 to $99,999",89
92059,2011,7,"$100,000 to $124,999",49
92059,2011,8,"$125,000 to $149,999",47
92059,2011,9,"$150,000 to $199,999",12
92059,2011,10,"$200,000 or more",8
92059,2012,1,"Less than $15,000",42
92059,2012,2,"$15,000 to $29,999",47
92059,2012,3,"$30,000 to $44,999",54
92059,2012,4,"$45,000 to $59,999",64
92059,2012,5,"$60,000 to $74,999",58
92059,2012,6,"$75,000 to $99,999",103
92059,2012,7,"$100,000 to $124,999",45
92059,2012,8,"$125,000 to $149,999",43
92059,2012,9,"$150,000 to $199,999",21
92059,2012,10,"$200,000 or more",13
92059,2013,1,"Less than $15,000",34
92059,2013,2,"$15,000 to $29,999",51
92059,2013,3,"$30,000 to $44,999",47
92059,2013,4,"$45,000 to $59,999",72
92059,2013,5,"$60,000 to $74,999",58
92059,2013,6,"$75,000 to $99,999",87
92059,2013,7,"$100,000 to $124,999",69
92059,2013,8,"$125,000 to $149,999",37
92059,2013,9,"$150,000 to $199,999",24
92059,2013,10,"$200,000 or more",12
92059,2014,1,"Less than $15,000",35
92059,2014,2,"$15,000 to $29,999",40
92059,2014,3,"$30,000 to $44,999",67
92059,2014,4,"$45,000 to $59,999",59
92059,2014,5,"$60,000 to $74,999",48
92059,2014,6,"$75,000 to $99,999",74
92059,2014,7,"$100,000 to $124,999",63
92059,2014,8,"$125,000 to $149,999",51
92059,2014,9,"$150,000 to $199,999",36
92059,2014,10,"$200,000 or more",18
92059,2015,1,"Less than $15,000",47
92059,2015,2,"$15,000 to $29,999",39
92059,2015,3,"$30,000 to $44,999",92
92059,2015,4,"$45,000 to $59,999",41
92059,2015,5,"$60,000 to $74,999",50
92059,2015,6,"$75,000 to $99,999",73
92059,2015,7,"$100,000 to $124,999",47
92059,2015,8,"$125,000 to $149,999",31
92059,2015,9,"$150,000 to $199,999",40
92059,2015,10,"$200,000 or more",31
92059,2016,1,"Less than $15,000",52
92059,2016,2,"$15,000 to $29,999",36
92059,2016,3,"$30,000 to $44,999",91
92059,2016,4,"$45,000 to $59,999",30
92059,2016,5,"$60,000 to $74,999",59
92059,2016,6,"$75,000 to $99,999",78
92059,2016,7,"$100,000 to $124,999",36
92059,2016,8,"$125,000 to $149,999",39
92059,2016,9,"$150,000 to $199,999",46
92059,2016,10,"$200,000 or more",26
92059,2017,1,"Less than $15,000",48
92059,2017,2,"$15,000 to $29,999",46
92059,2017,3,"$30,000 to $44,999",102
92059,2017,4,"$45,000 to $59,999",33
92059,2017,5,"$60,000 to $74,999",46
92059,2017,6,"$75,000 to $99,999",66
92059,2017,7,"$100,000 to $124,999",46
92059,2017,8,"$125,000 to $149,999",35
92059,2017,9,"$150,000 to $199,999",36
92059,2017,10,"$200,000 or more",30
92059,2018,1,"Less than $15,000",47
92059,2018,2,"$15,000 to $29,999",36
92059,2018,3,"$30,000 to $44,999",109
92059,2018,4,"$45,000 to $59,999",25
92059,2018,5,"$60,000 to $74,999",52
92059,2018,6,"$75,000 to $99,999",77
92059,2018,7,"$100,000 to $124,999",47
92059,2018,8,"$125,000 to $149,999",17
92059,2018,9,"$150,000 to $199,999",29
92059,2018,10,"$200,000 or more",54
92059,2019,1,"Less than $15,000",55
92059,2019,2,"$15,000 to $29,999",35
92059,2019,3,"$30,000 to $44,999",78
92059,2019,4,"$45,000 to $59,999",33
92059,2019,5,"$60,000 to $74,999",57
92059,2019,6,"$75,000 to $99,999",66
92059,2019,7,"$100,000 to $124,999",47
92059,2019,8,"$125,000 to $149,999",37
92059,2019,9,"$150,000 to $199,999",52
92059,2019,10,"$200,000 or more",45
92060,2010,1,"Less than $15,000",48
92060,2010,2,"$15,000 to $29,999",39
92060,2010,3,"$30,000 to $44,999",48
92060,2010,4,"$45,000 to $59,999",41
92060,2010,5,"$60,000 to $74,999",47
92060,2010,6,"$75,000 to $99,999",30
92060,2010,7,"$100,000 to $124,999",24
92060,2010,8,"$125,000 to $149,999",4
92060,2010,9,"$150,000 to $199,999",11
92060,2010,10,"$200,000 or more",7
92060,2011,1,"Less than $15,000",56
92060,2011,2,"$15,000 to $29,999",38
92060,2011,3,"$30,000 to $44,999",57
92060,2011,4,"$45,000 to $59,999",36
92060,2011,5,"$60,000 to $74,999",44
92060,2011,6,"$75,000 to $99,999",25
92060,2011,7,"$100,000 to $124,999",22
92060,2011,8,"$125,000 to $149,999",10
92060,2011,9,"$150,000 to $199,999",6
92060,2011,10,"$200,000 or more",6
92060,2012,1,"Less than $15,000",63
92060,2012,2,"$15,000 to $29,999",47
92060,2012,3,"$30,000 to $44,999",42
92060,2012,4,"$45,000 to $59,999",26
92060,2012,5,"$60,000 to $74,999",45
92060,2012,6,"$75,000 to $99,999",32
92060,2012,7,"$100,000 to $124,999",21
92060,2012,8,"$125,000 to $149,999",13
92060,2012,9,"$150,000 to $199,999",5
92060,2012,10,"$200,000 or more",7
92060,2013,1,"Less than $15,000",51
92060,2013,2,"$15,000 to $29,999",63
92060,2013,3,"$30,000 to $44,999",60
92060,2013,4,"$45,000 to $59,999",31
92060,2013,5,"$60,000 to $74,999",36
92060,2013,6,"$75,000 to $99,999",30
92060,2013,7,"$100,000 to $124,999",20
92060,2013,8,"$125,000 to $149,999",9
92060,2013,9,"$150,000 to $199,999",6
92060,2013,10,"$200,000 or more",7
92060,2014,1,"Less than $15,000",53
92060,2014,2,"$15,000 to $29,999",65
92060,2014,3,"$30,000 to $44,999",50
92060,2014,4,"$45,000 to $59,999",35
92060,2014,5,"$60,000 to $74,999",39
92060,2014,6,"$75,000 to $99,999",36
92060,2014,7,"$100,000 to $124,999",17
92060,2014,8,"$125,000 to $149,999",6
92060,2014,9,"$150,000 to $199,999",6
92060,2014,10,"$200,000 or more",5
92060,2015,1,"Less than $15,000",51
92060,2015,2,"$15,000 to $29,999",63
92060,2015,3,"$30,000 to $44,999",49
92060,2015,4,"$45,000 to $59,999",25
92060,2015,5,"$60,000 to $74,999",22
92060,2015,6,"$75,000 to $99,999",43
92060,2015,7,"$100,000 to $124,999",32
92060,2015,8,"$125,000 to $149,999",18
92060,2015,9,"$150,000 to $199,999",9
92060,2015,10,"$200,000 or more",9
92060,2016,1,"Less than $15,000",45
92060,2016,2,"$15,000 to $29,999",72
92060,2016,3,"$30,000 to $44,999",56
92060,2016,4,"$45,000 to $59,999",30
92060,2016,5,"$60,000 to $74,999",23
92060,2016,6,"$75,000 to $99,999",49
92060,2016,7,"$100,000 to $124,999",28
92060,2016,8,"$125,000 to $149,999",10
92060,2016,9,"$150,000 to $199,999",5
92060,2016,10,"$200,000 or more",12
92060,2017,1,"Less than $15,000",52
92060,2017,2,"$15,000 to $29,999",68
92060,2017,3,"$30,000 to $44,999",40
92060,2017,4,"$45,000 to $59,999",31
92060,2017,5,"$60,000 to $74,999",26
92060,2017,6,"$75,000 to $99,999",55
92060,2017,7,"$100,000 to $124,999",29
92060,2017,8,"$125,000 to $149,999",7
92060,2017,9,"$150,000 to $199,999",11
92060,2017,10,"$200,000 or more",11
92060,2018,1,"Less than $15,000",61
92060,2018,2,"$15,000 to $29,999",60
92060,2018,3,"$30,000 to $44,999",39
92060,2018,4,"$45,000 to $59,999",28
92060,2018,5,"$60,000 to $74,999",29
92060,2018,6,"$75,000 to $99,999",35
92060,2018,7,"$100,000 to $124,999",25
92060,2018,8,"$125,000 to $149,999",19
92060,2018,9,"$150,000 to $199,999",17
92060,2018,10,"$200,000 or more",20
92060,2019,1,"Less than $15,000",45
92060,2019,2,"$15,000 to $29,999",57
92060,2019,3,"$30,000 to $44,999",48
92060,2019,4,"$45,000 to $59,999",36
92060,2019,5,"$60,000 to $74,999",31
92060,2019,6,"$75,000 to $99,999",58
92060,2019,7,"$100,000 to $124,999",28
92060,2019,8,"$125,000 to $149,999",13
92060,2019,9,"$150,000 to $199,999",9
92060,2019,10,"$200,000 or more",18
92061,2010,1,"Less than $15,000",68
92061,2010,2,"$15,000 to $29,999",110
92061,2010,3,"$30,000 to $44,999",95
92061,2010,4,"$45,000 to $59,999",113
92061,2010,5,"$60,000 to $74,999",91
92061,2010,6,"$75,000 to $99,999",144
92061,2010,7,"$100,000 to $124,999",100
92061,2010,8,"$125,000 to $149,999",100
92061,2010,9,"$150,000 to $199,999",42
92061,2010,10,"$200,000 or more",39
92061,2011,1,"Less than $15,000",60
92061,2011,2,"$15,000 to $29,999",103
92061,2011,3,"$30,000 to $44,999",94
92061,2011,4,"$45,000 to $59,999",107
92061,2011,5,"$60,000 to $74,999",93
92061,2011,6,"$75,000 to $99,999",157
92061,2011,7,"$100,000 to $124,999",123
92061,2011,8,"$125,000 to $149,999",81
92061,2011,9,"$150,000 to $199,999",37
92061,2011,10,"$200,000 or more",47
92061,2012,1,"Less than $15,000",79
92061,2012,2,"$15,000 to $29,999",98
92061,2012,3,"$30,000 to $44,999",79
92061,2012,4,"$45,000 to $59,999",103
92061,2012,5,"$60,000 to $74,999",101
92061,2012,6,"$75,000 to $99,999",159
92061,2012,7,"$100,000 to $124,999",119
92061,2012,8,"$125,000 to $149,999",63
92061,2012,9,"$150,000 to $199,999",55
92061,2012,10,"$200,000 or more",46
92061,2013,1,"Less than $15,000",65
92061,2013,2,"$15,000 to $29,999",110
92061,2013,3,"$30,000 to $44,999",92
92061,2013,4,"$45,000 to $59,999",99
92061,2013,5,"$60,000 to $74,999",104
92061,2013,6,"$75,000 to $99,999",149
92061,2013,7,"$100,000 to $124,999",105
92061,2013,8,"$125,000 to $149,999",61
92061,2013,9,"$150,000 to $199,999",71
92061,2013,10,"$200,000 or more",50
92061,2014,1,"Less than $15,000",67
92061,2014,2,"$15,000 to $29,999",93
92061,2014,3,"$30,000 to $44,999",119
92061,2014,4,"$45,000 to $59,999",90
92061,2014,5,"$60,000 to $74,999",85
92061,2014,6,"$75,000 to $99,999",165
92061,2014,7,"$100,000 to $124,999",112
92061,2014,8,"$125,000 to $149,999",53
92061,2014,9,"$150,000 to $199,999",64
92061,2014,10,"$200,000 or more",57
92061,2015,1,"Less than $15,000",71
92061,2015,2,"$15,000 to $29,999",94
92061,2015,3,"$30,000 to $44,999",119
92061,2015,4,"$45,000 to $59,999",76
92061,2015,5,"$60,000 to $74,999",81
92061,2015,6,"$75,000 to $99,999",122
92061,2015,7,"$100,000 to $124,999",72
92061,2015,8,"$125,000 to $149,999",65
92061,2015,9,"$150,000 to $199,999",80
92061,2015,10,"$200,000 or more",61
92061,2016,1,"Less than $15,000",76
92061,2016,2,"$15,000 to $29,999",84
92061,2016,3,"$30,000 to $44,999",111
92061,2016,4,"$45,000 to $59,999",87
92061,2016,5,"$60,000 to $74,999",84
92061,2016,6,"$75,000 to $99,999",134
92061,2016,7,"$100,000 to $124,999",80
92061,2016,8,"$125,000 to $149,999",56
92061,2016,9,"$150,000 to $199,999",73
92061,2016,10,"$200,000 or more",61
92061,2017,1,"Less than $15,000",84
92061,2017,2,"$15,000 to $29,999",81
92061,2017,3,"$30,000 to $44,999",127
92061,2017,4,"$45,000 to $59,999",88
92061,2017,5,"$60,000 to $74,999",80
92061,2017,6,"$75,000 to $99,999",127
92061,2017,7,"$100,000 to $124,999",78
92061,2017,8,"$125,000 to $149,999",55
92061,2017,9,"$150,000 to $199,999",69
92061,2017,10,"$200,000 or more",53
92061,2018,1,"Less than $15,000",96
92061,2018,2,"$15,000 to $29,999",60
92061,2018,3,"$30,000 to $44,999",158
92061,2018,4,"$45,000 to $59,999",65
92061,2018,5,"$60,000 to $74,999",81
92061,2018,6,"$75,000 to $99,999",99
92061,2018,7,"$100,000 to $124,999",90
92061,2018,8,"$125,000 to $149,999",51
92061,2018,9,"$150,000 to $199,999",68
92061,2018,10,"$200,000 or more",79
92061,2019,1,"Less than $15,000",99
92061,2019,2,"$15,000 to $29,999",77
92061,2019,3,"$30,000 to $44,999",103
92061,2019,4,"$45,000 to $59,999",63
92061,2019,5,"$60,000 to $74,999",69
92061,2019,6,"$75,000 to $99,999",125
92061,2019,7,"$100,000 to $124,999",82
92061,2019,8,"$125,000 to $149,999",64
92061,2019,9,"$150,000 to $199,999",66
92061,2019,10,"$200,000 or more",109
92064,2010,1,"Less than $15,000",1166
92064,2010,2,"$15,000 to $29,999",1171
92064,2010,3,"$30,000 to $44,999",1282
92064,2010,4,"$45,000 to $59,999",1310
92064,2010,5,"$60,000 to $74,999",1668
92064,2010,6,"$75,000 to $99,999",2399
92064,2010,7,"$100,000 to $124,999",1926
92064,2010,8,"$125,000 to $149,999",1276
92064,2010,9,"$150,000 to $199,999",2153
92064,2010,10,"$200,000 or more",1810
92064,2011,1,"Less than $15,000",1178
92064,2011,2,"$15,000 to $29,999",1179
92064,2011,3,"$30,000 to $44,999",1277
92064,2011,4,"$45,000 to $59,999",1324
92064,2011,5,"$60,000 to $74,999",1666
92064,2011,6,"$75,000 to $99,999",2400
